navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734626679.360,1.480,-0.230,1.493,-0.229,0.001,0.000,0.000,0.082
1,1734626679.560,1.480,-0.230,1.493,-0.229,0.001,0.000,0.000,0.282
1,1734626679.760,1.480,-0.230,1.492,-0.230,0.001,0.000,0.002,0.482
1,1734626679.960,1.480,-0.230,1.492,-0.230,0.002,0.001,0.002,0.681
1,1734626680.160,1.480,-0.230,1.492,-0.230,0.001,0.001,0.001,0.882
1,1734626680.361,1.480,-0.230,1.478,-0.235,0.006,0.016,0.075,1.082
1,1734626680.561,1.480,-0.230,1.478,-0.235,0.005,0.016,0.001,1.282
1,1734626680.760,1.480,-0.230,1.465,-0.252,0.026,0.037,0.105,1.482
1,1734626680.960,1.480,-0.230,1.465,-0.252,0.026,0.037,0.000,1.682
1,1734626681.160,1.480,-0.230,1.465,-0.252,0.026,0.037,0.000,1.882
1,1734626681.361,1.480,-0.230,1.463,-0.254,0.030,0.041,0.016,2.083
1,1734626681.560,1.480,-0.230,1.463,-0.254,0.029,0.041,0.001,2.282
1,1734626681.760,1.480,-0.230,1.463,-0.254,0.029,0.041,0.000,2.482
1,1734626681.961,1.480,-0.230,1.449,-0.250,0.037,0.055,0.071,2.682
1,1734626682.161,1.480,-0.230,1.450,-0.254,0.039,0.059,0.022,2.882
1,1734626682.361,1.480,-0.230,1.452,-0.262,0.043,0.067,0.039,3.082
1,1734626682.560,1.480,-0.280,1.435,-0.267,0.047,0.085,0.089,3.281
1,1734626682.760,1.480,-0.280,1.438,-0.273,0.043,0.092,0.036,3.481
1,1734626682.960,1.480,-0.280,1.440,-0.277,0.040,0.096,0.020,3.681
1,1734626683.160,1.480,-0.280,1.411,-0.275,0.069,0.124,0.143,3.882
1,1734626683.360,1.480,-0.280,1.414,-0.278,0.066,0.129,0.022,4.081
1,1734626683.560,1.430,-0.280,1.423,-0.287,0.010,0.141,0.062,4.282
1,1734626683.760,1.430,-0.280,1.433,-0.306,0.026,0.163,0.108,4.481
1,1734626683.960,1.430,-0.280,1.445,-0.314,0.034,0.178,0.073,4.682
1,1734626684.160,1.430,-0.280,1.452,-0.318,0.037,0.185,0.040,4.882
1,1734626684.361,1.479,-0.282,1.460,-0.322,0.041,0.194,0.042,5.082
1,1734626684.560,1.473,-0.331,1.471,-0.332,0.002,0.210,0.078,5.281
1,1734626684.761,1.473,-0.331,1.478,-0.335,0.006,0.217,0.036,5.482
1,1734626684.960,1.473,-0.331,1.481,-0.336,0.009,0.220,0.017,5.682
1,1734626685.160,1.473,-0.331,1.489,-0.336,0.013,0.228,0.038,5.882
1,1734626685.360,1.494,-0.319,1.494,-0.336,0.015,0.232,0.022,6.081
1,1734626685.561,1.480,-0.330,1.500,-0.336,0.012,0.239,0.034,6.282
1,1734626685.760,1.520,-0.317,1.504,-0.335,0.012,0.243,0.019,6.482
1,1734626685.961,1.520,-0.317,1.530,-0.332,0.018,0.270,0.134,6.682
1,1734626686.160,1.540,-0.303,1.561,-0.326,0.031,0.301,0.158,6.881
1,1734626686.360,1.561,-0.288,1.580,-0.326,0.042,0.319,0.092,7.081
1,1734626686.560,1.630,-0.330,1.609,-0.316,0.025,0.351,0.156,7.281
1,1734626686.761,1.630,-0.330,1.636,-0.305,0.013,0.380,0.144,7.483
1,1734626686.960,1.662,-0.298,1.664,-0.293,0.003,0.410,0.153,7.682
1,1734626687.160,1.680,-0.282,1.690,-0.280,0.002,0.439,0.146,7.882
1,1734626687.360,1.725,-0.259,1.726,-0.252,0.006,0.485,0.229,8.082
1,1734626687.560,1.730,-0.230,1.745,-0.239,0.016,0.507,0.111,8.282
1,1734626687.760,1.771,-0.202,1.776,-0.216,0.015,0.546,0.192,8.481
1,1734626687.960,1.771,-0.202,1.793,-0.202,0.022,0.568,0.111,8.682
1,1734626688.160,1.794,-0.165,1.807,-0.182,0.021,0.593,0.126,8.881
1,1734626688.360,1.814,-0.149,1.824,-0.163,0.017,0.618,0.123,9.082
1,1734626688.561,1.880,-0.130,1.846,-0.136,0.035,0.652,0.173,9.283
1,1734626688.760,1.880,-0.130,1.859,-0.116,0.025,0.677,0.122,9.481
1,1734626688.960,1.894,-0.074,1.880,-0.086,0.014,0.714,0.186,9.681
1,1734626689.160,1.894,-0.074,1.893,-0.064,0.002,0.739,0.125,9.882
1,1734626689.360,1.894,-0.024,1.910,-0.030,0.016,0.777,0.190,10.081
1,1734626689.560,1.893,0.001,1.919,-0.010,0.025,0.799,0.112,10.282
1,1734626689.759,1.928,0.027,1.931,0.022,0.003,0.833,0.171,10.481
1,1734626689.960,1.927,0.052,1.938,0.043,0.011,0.855,0.110,10.682
1,1734626690.160,1.926,0.077,1.948,0.080,0.022,0.893,0.189,10.882
1,1734626690.360,1.924,0.102,1.952,0.101,0.028,0.915,0.108,11.081
1,1734626690.561,1.923,0.127,1.957,0.129,0.035,0.944,0.146,11.282
1,1734626690.760,1.960,0.154,1.966,0.164,0.008,0.979,0.176,11.482
1,1734626690.960,1.955,0.178,1.968,0.186,0.014,1.001,0.112,11.681
1,1734626691.160,1.949,0.202,1.969,0.217,0.023,1.032,0.155,11.881
1,1734626691.360,1.943,0.227,1.970,0.246,0.032,1.061,0.146,12.081
1,1734626691.560,1.929,0.275,1.970,0.284,0.042,1.099,0.188,12.282
1,1734626691.761,1.961,0.306,1.970,0.306,0.008,1.121,0.111,12.482
1,1734626691.960,1.956,0.330,1.969,0.343,0.016,1.159,0.188,12.681
1,1734626692.160,1.949,0.354,1.968,0.366,0.021,1.181,0.111,12.882
1,1734626692.359,1.935,0.402,1.965,0.403,0.029,1.219,0.188,13.081
1,1734626692.559,1.928,0.426,1.963,0.432,0.036,1.248,0.145,13.281
1,1734626692.760,1.980,0.470,1.960,0.470,0.018,1.286,0.189,13.481
1,1734626692.960,1.964,0.504,1.957,0.495,0.010,1.310,0.125,13.681
1,1734626693.159,1.960,0.528,1.953,0.530,0.006,1.346,0.177,13.881
1,1734626693.359,1.955,0.553,1.950,0.554,0.005,1.370,0.122,14.081
1,1734626693.560,1.950,0.577,1.946,0.589,0.002,1.405,0.175,14.281
1,1734626693.759,1.930,0.620,1.943,0.613,0.015,1.430,0.122,14.481
1,1734626693.960,1.915,0.646,1.938,0.650,0.022,1.467,0.189,14.681
1,1734626694.159,1.914,0.671,1.936,0.672,0.021,1.490,0.111,14.881
1,1734626694.360,1.913,0.696,1.925,0.694,0.012,1.513,0.118,15.082
1,1734626694.560,1.913,0.721,1.923,0.716,0.010,1.535,0.110,15.282
1,1734626694.759,1.930,0.770,1.919,0.744,0.028,1.564,0.143,15.481
1,1734626694.959,1.917,0.796,1.915,0.779,0.010,1.599,0.175,15.681
1,1734626695.160,1.917,0.796,1.912,0.797,0.005,1.618,0.094,15.881
1,1734626695.360,1.917,0.821,1.910,0.811,0.007,1.631,0.069,16.081
1,1734626695.559,1.917,0.821,1.910,0.811,0.007,1.631,0.000,16.281
1,1734626695.759,1.917,0.821,1.910,0.811,0.007,1.632,0.001,16.481
1,1734626695.960,1.917,0.821,1.910,0.811,0.007,1.632,0.001,16.681
1,1734626696.159,1.917,0.821,1.910,0.811,0.007,1.632,0.000,16.881
1,1734626696.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.081
1,1734626696.560,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.281
1,1734626696.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.481
1,1734626696.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.681
1,1734626697.160,1.917,0.821,1.910,0.810,0.007,1.632,0.000,17.881
1,1734626697.360,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.081
1,1734626697.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.281
1,1734626697.760,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.481
1,1734626697.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.681
1,1734626698.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,18.881
1,1734626698.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.081
1,1734626698.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.281
1,1734626698.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.481
1,1734626698.960,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.681
1,1734626699.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,19.881
1,1734626699.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.081
1,1734626699.559,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.281
1,1734626699.759,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.481
1,1734626699.959,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.681
1,1734626700.159,1.917,0.821,1.910,0.810,0.007,1.632,0.000,20.881
1,1734626700.359,1.917,0.821,1.910,0.810,0.007,1.632,0.000,21.081
1,1734626700.560,1.917,0.821,1.910,0.810,0.007,1.632,0.000,21.281
2,1734626700.760,1.930,0.820,1.910,0.810,0.022,0.000,0.000,0.101
2,1734626700.960,1.930,0.820,1.910,0.814,0.021,0.004,0.019,0.302
2,1734626701.160,1.916,0.861,1.906,0.839,0.017,0.029,0.125,0.501
2,1734626701.360,1.916,0.861,1.902,0.869,0.013,0.059,0.152,0.701
2,1734626701.560,1.910,0.911,1.898,0.907,0.013,0.097,0.190,0.901
2,1734626701.760,1.880,0.920,1.895,0.930,0.016,0.121,0.119,1.101
2,1734626701.960,1.873,0.962,1.874,0.943,0.002,0.145,0.122,1.301
2,1734626702.160,1.873,0.962,1.870,0.964,0.003,0.166,0.105,1.501
2,1734626702.360,1.872,0.987,1.866,0.999,0.006,0.202,0.176,1.701
2,1734626702.560,1.871,1.012,1.863,1.023,0.008,0.227,0.125,1.901
2,1734626702.760,1.880,1.070,1.860,1.061,0.022,0.264,0.188,2.102
2,1734626702.961,1.875,1.097,1.858,1.083,0.019,0.286,0.111,2.302
2,1734626703.160,1.875,1.122,1.857,1.121,0.018,0.324,0.188,2.502
