navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734627080.599,0.880,0.070,0.884,0.069,0.003,0.000,0.000,0.156
1,1734627080.799,0.880,0.070,0.884,0.069,0.003,0.000,0.000,0.356
1,1734627080.999,0.880,0.070,0.884,0.069,0.003,0.000,0.000,0.556
1,1734627081.199,0.880,0.070,0.884,0.069,0.003,0.000,0.000,0.756
1,1734627081.399,0.880,0.070,0.884,0.069,0.003,0.000,0.000,0.957
1,1734627081.599,0.880,0.070,0.884,0.069,0.003,0.000,0.000,1.156
1,1734627081.800,0.880,0.070,0.884,0.069,0.003,0.000,0.000,1.357
1,1734627081.999,0.880,0.070,0.884,0.069,0.003,0.000,0.000,1.557
1,1734627082.199,0.880,0.070,0.884,0.069,0.003,0.000,0.000,1.756
1,1734627082.399,0.880,0.070,0.884,0.069,0.003,0.000,0.000,1.956
1,1734627082.599,0.880,0.070,0.884,0.069,0.003,0.000,0.000,2.156
1,1734627082.799,0.880,0.070,0.885,0.069,0.004,0.001,0.003,2.356
1,1734627082.999,0.880,0.070,0.904,0.070,0.023,0.020,0.097,2.556
1,1734627083.199,0.893,0.034,0.936,0.070,0.053,0.052,0.160,2.756
1,1734627083.399,0.911,0.017,0.965,0.069,0.074,0.081,0.142,2.956
1,1734627083.599,0.980,0.070,0.996,0.067,0.016,0.112,0.158,3.156
1,1734627083.799,0.980,0.070,1.024,0.065,0.045,0.140,0.141,3.356
1,1734627083.999,0.980,0.070,1.055,0.061,0.076,0.172,0.157,3.556
1,1734627084.199,0.980,0.070,1.085,0.057,0.105,0.201,0.148,3.756
1,1734627084.399,0.980,0.070,1.114,0.052,0.135,0.231,0.150,3.956
1,1734627084.599,1.130,0.020,1.144,0.047,0.030,0.261,0.149,4.156
1,1734627084.799,1.130,0.020,1.115,0.034,0.020,0.292,0.156,4.356
1,1734627084.999,1.130,0.020,1.142,0.026,0.014,0.321,0.142,4.557
1,1734627085.199,1.130,0.020,1.172,0.017,0.042,0.352,0.156,4.756
1,1734627085.399,1.130,0.020,1.200,0.008,0.069,0.381,0.143,4.956
1,1734627085.599,1.229,-0.006,1.229,-0.001,0.000,0.412,0.155,5.156
1,1734627085.799,1.229,-0.006,1.257,-0.010,0.028,0.441,0.146,5.356
1,1734627085.999,1.229,-0.031,1.286,-0.020,0.057,0.471,0.153,5.556
1,1734627086.199,1.229,-0.031,1.316,-0.030,0.087,0.503,0.158,5.756
1,1734627086.399,1.229,-0.031,1.343,-0.039,0.114,0.531,0.141,5.956
1,1734627086.599,1.228,-0.056,1.343,-0.056,0.114,0.548,0.085,6.156
1,1734627086.799,1.378,-0.079,1.370,-0.064,0.009,0.576,0.141,6.356
1,1734627086.999,1.378,-0.079,1.400,-0.072,0.022,0.608,0.157,6.556
1,1734627087.199,1.378,-0.079,1.429,-0.079,0.051,0.637,0.146,6.756
1,1734627087.399,1.425,-0.148,1.459,-0.085,0.070,0.668,0.154,6.956
