navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734622845.805,-0.049,-0.118,-0.010,-0.153,0.053,0.000,0.000,2.863
1,1734622846.004,-0.049,-0.118,-0.010,-0.153,0.053,0.000,0.000,3.062
1,1734622846.204,0.030,-0.130,-0.010,-0.153,0.046,0.000,0.000,3.263
1,1734622846.404,0.030,-0.130,0.063,-0.120,0.034,0.080,0.399,3.463
1,1734622846.604,0.030,-0.130,0.063,-0.120,0.034,0.080,0.000,3.663
1,1734622846.804,0.030,-0.130,0.063,-0.120,0.034,0.080,0.000,3.862
1,1734622847.004,0.042,-0.011,0.127,-0.059,0.097,0.168,0.443,4.062
1,1734622847.205,0.130,0.020,0.127,-0.059,0.079,0.168,0.000,4.264
1,1734622847.404,0.130,0.020,0.127,-0.059,0.079,0.168,0.000,4.462
1,1734622847.604,0.130,0.020,0.179,0.023,0.049,0.265,0.485,4.663
1,1734622847.804,0.130,0.020,0.179,0.023,0.049,0.265,0.000,4.863
1,1734622848.005,0.130,0.020,0.179,0.023,0.049,0.265,0.000,5.063
1,1734622848.204,0.180,0.120,0.179,0.023,0.097,0.265,0.000,5.262
1,1734622848.404,0.180,0.120,0.208,0.137,0.032,0.383,0.588,5.462
1,1734622848.604,0.180,0.120,0.208,0.137,0.032,0.383,0.000,5.663
1,1734622848.804,0.180,0.120,0.208,0.137,0.032,0.383,0.000,5.863
1,1734622849.003,0.180,0.120,0.208,0.137,0.032,0.383,0.000,6.062
1,1734622849.203,0.180,0.270,0.225,0.271,0.045,0.518,0.677,6.262
1,1734622849.403,0.180,0.270,0.225,0.271,0.045,0.518,0.000,6.462
1,1734622849.604,0.180,0.270,0.225,0.271,0.045,0.518,0.000,6.663
1,1734622849.803,0.180,0.270,0.225,0.271,0.045,0.518,0.000,6.862
1,1734622850.004,0.180,0.270,0.225,0.271,0.045,0.518,0.000,7.062
1,1734622850.203,0.180,0.420,0.225,0.271,0.156,0.518,0.000,7.262
1,1734622850.404,0.180,0.420,0.225,0.271,0.156,0.518,0.000,7.462
1,1734622850.603,0.180,0.420,0.198,0.449,0.034,0.698,0.898,7.662
1,1734622850.803,0.180,0.420,0.198,0.449,0.034,0.698,0.000,7.862
1,1734622851.003,0.180,0.420,0.198,0.449,0.034,0.698,0.000,8.062
1,1734622851.205,0.130,0.570,0.198,0.449,0.139,0.698,0.000,8.264
1,1734622851.403,0.130,0.570,0.198,0.449,0.139,0.698,0.000,8.462
1,1734622851.603,0.130,0.570,0.198,0.449,0.139,0.698,0.000,8.662
1,1734622851.803,0.130,0.570,0.198,0.449,0.139,0.698,0.000,8.862
